Date,Open,High,Low,Close,Adj Close,Volume
2015-07-10,83.790001,84.190002,83.559998,83.900002,70.383377,709800
2015-07-13,84.550003,84.730003,84.440002,84.699997,71.054489,1981300
2015-07-14,84.730003,85.120003,84.519997,85.050003,71.348099,1052300
2015-07-15,85.099998,85.180000,84.769997,84.989998,71.297775,1264400
2015-07-16,85.510002,85.559998,85.379997,85.529999,71.750778,470900
2015-07-17,85.419998,85.419998,85.059998,85.269997,71.532669,1034400
2015-07-20,85.360001,85.360001,85.019997,85.180000,71.457184,1822100
2015-07-21,85.129997,85.129997,84.489998,84.669998,71.029335,1034300
2015-07-22,84.610001,84.769997,84.449997,84.620003,70.987373,1125100
2015-07-23,84.760002,84.809998,84.040001,84.169998,70.609879,2104600
2015-07-24,84.209999,84.209999,83.099998,83.239998,69.829704,544700
2015-07-27,82.930000,83.010002,82.459999,82.769997,69.435425,874300
2015-07-28,83.099998,83.809998,82.760002,83.739998,70.249153,1289500
2015-07-29,83.720001,84.540001,83.709999,84.440002,70.836403,1076300
2015-07-30,84.320000,84.519997,84.040001,84.480003,70.869926,633100
2015-07-31,84.610001,84.620003,84.120003,84.199997,70.635048,1705700
2015-08-03,84.230003,84.230003,83.519997,83.930000,70.408539,2784800
2015-08-04,83.970001,84.120003,83.559998,83.760002,70.265945,812200
2015-08-05,84.300003,84.589996,83.970001,84.089996,70.542755,1616200
2015-08-06,84.129997,84.260002,83.459999,83.739998,70.249153,1005600
2015-08-07,83.739998,83.739998,83.110001,83.410004,69.972321,1051300
2015-08-10,83.959999,84.550003,83.760002,84.550003,70.928650,546200
2015-08-11,83.930000,83.980003,83.410004,83.809998,70.307877,827800
2015-08-12,83.239998,83.940002,82.570000,83.839996,70.333023,659700
2015-08-13,83.900002,84.000000,83.540001,83.720001,70.232376,3011000
2015-08-14,83.699997,84.120003,83.639999,84.089996,70.542755,720200
2015-08-17,83.849998,84.449997,83.519997,84.430000,70.827972,669600
2015-08-18,84.349998,84.449997,84.110001,84.250000,70.676979,720600
2015-08-19,83.839996,84.089996,83.040001,83.430000,69.989082,963000
2015-08-20,82.800003,82.940002,81.849998,81.870003,68.680405,1053700
2015-08-21,81.059998,81.459999,79.519997,79.540001,66.725784,3046800
2015-08-24,76.730003,78.559998,72.250000,76.260002,63.974209,5743700
2015-08-25,76.889999,79.070000,74.980003,74.989998,62.908817,3727200
