,Open,High,Low,Close,Volume
2021-04-23 04:00:00-04:00,717.12,721.79,712.06,721.0,0
2021-04-23 05:00:00-04:00,721.06,728.0,720.01,722.06,0
2021-04-23 06:00:00-04:00,723.0,724.0,720.41,722.86,0
2021-04-23 07:00:00-04:00,723.0,723.89,718.25,718.99,0
2021-04-23 08:00:00-04:00,719.0,723.86,718.21,722.89,0
2021-04-23 09:00:00-04:00,722.9,723.34,716.2,719.76,0
2021-04-23 09:30:00-04:00,719.7999877929688,732.3892211914062,715.4600219726562,731.0,7914524
2021-04-23 10:30:00-04:00,731.0999755859375,736.5599975585938,726.5999755859375,734.35498046875,4425931
2021-04-23 11:30:00-04:00,734.344970703125,737.3599853515625,730.418701171875,731.364990234375,3163192
2021-04-23 12:30:00-04:00,731.4099731445312,735.530029296875,731.0700073242188,733.0599975585938,1871229
2021-04-23 13:30:00-04:00,733.02001953125,733.6400146484375,724.22998046875,726.844970703125,2364209
2021-04-23 14:30:00-04:00,726.8726196289062,729.8900146484375,721.6699829101562,729.4481201171875,3760108
2021-04-23 15:30:00-04:00,729.3499755859375,731.1995239257812,727.0,729.4000244140625,2742506
2021-04-23 16:00:00-04:00,729.4,730.0,727.55,729.16,0
2021-04-23 17:00:00-04:00,729.24,743.3,728.75,729.06,0
2021-04-23 18:00:00-04:00,729.06,729.5,729.0,729.5,0
2021-04-23 19:00:00-04:00,729.5,730.7,729.5,730.25,0
2021-04-26 04:00:00-04:00,734.0,735.09,728.51,729.01,0
2021-04-26 05:00:00-04:00,729.0,730.2,726.01,728.62,0
2021-04-26 06:00:00-04:00,728.5,732.0,728.5,731.15,0
2021-04-26 07:00:00-04:00,731.15,735.77,729.4,735.48,0
2021-04-26 08:00:00-04:00,735.48,739.4,730.295,737.5,0
2021-04-26 09:00:00-04:00,737.7,742.24,729.4,740.48,0
2021-04-26 09:30:00-04:00,741.0,749.2999877929688,732.6052856445312,738.34521484375,9027486
2021-04-26 10:30:00-04:00,738.280029296875,740.7999267578125,736.0,739.125,3933484
2021-04-26 11:30:00-04:00,739.3300170898438,741.7000122070312,736.1199951171875,738.2401123046875,2887413
2021-04-26 12:30:00-04:00,738.2999877929688,740.7999877929688,735.3499755859375,736.2000122070312,2224910
2021-04-26 13:30:00-04:00,736.1300048828125,737.75,735.010009765625,736.6599731445312,2477680
2021-04-26 14:30:00-04:00,736.6900024414062,740.5900268554688,735.5,737.594970703125,2720000
2021-04-26 15:30:00-04:00,737.5700073242188,738.260009765625,733.47998046875,738.0,3273865
2021-04-26 16:00:00-04:00,738.2,745.0,715.12,723.45,0
